Date;Open;High;Low;Close;Volume
15.12.20 05:30;1.21478;1.21479;1.21477;1.21478;130000000
15.12.20 05:30;1.21478;1.21481;1.21477;1.2148;141000000
15.12.20 05:30;1.21478;1.21478;1.21476;1.21476;129000000
15.12.20 05:30;1.21476;1.21478;1.21476;1.21477;131000000
15.12.20 05:30;1.21476;1.21481;1.21476;1.2148;150000000
15.12.20 05:31;1.2148;1.21482;1.2148;1.2148;127000000
15.12.20 05:31;1.2148;1.21482;1.21478;1.21478;132000000
15.12.20 05:31;1.21479;1.21482;1.21478;1.2148;152049999
15.12.20 05:31;1.2148;1.21482;1.2148;1.21481;100000000
15.12.20 05:31;1.21481;1.21482;1.2148;1.21481;133000000
15.12.20 05:31;1.21482;1.21486;1.21481;1.21485;128000000
15.12.20 05:32;1.21485;1.21486;1.21484;1.21485;138000000
15.12.20 05:32;1.21485;1.21486;1.21485;1.21485;140000000
15.12.20 05:32;1.21485;1.21487;1.21485;1.21486;112000000
15.12.20 05:32;1.21487;1.21487;1.21485;1.21486;120000000
15.12.20 05:32;1.21485;1.21487;1.21485;1.21486;143000000
15.12.20 05:32;1.21486;1.21487;1.21485;1.21486;126000000
15.12.20 05:33;1.21487;1.21487;1.21485;1.21486;114000000
15.12.20 05:33;1.21486;1.21487;1.21485;1.21486;131000000
15.12.20 05:33;1.21486;1.21487;1.21485;1.21486;110000000
15.12.20 05:33;1.21487;1.21487;1.21485;1.21486;127000000
15.12.20 05:33;1.21487;1.21487;1.21485;1.21487;112000000
15.12.20 05:33;1.21487;1.21487;1.21485;1.21486;115000000
15.12.20 05:34;1.21486;1.21487;1.21485;1.21485;102000000
15.12.20 05:34;1.21485;1.21488;1.21485;1.21488;129000000
15.12.20 05:34;1.21488;1.2149;1.21487;1.21488;150000000
15.12.20 05:34;1.21488;1.2149;1.21486;1.21487;133000000
15.12.20 05:34;1.21487;1.21488;1.21485;1.21488;137000000
15.12.20 05:34;1.21487;1.21488;1.21486;1.21487;113000000
15.12.20 05:35;1.21487;1.21487;1.21485;1.21486;130000000
15.12.20 05:35;1.21486;1.21487;1.21485;1.21487;140000000
15.12.20 05:35;1.21488;1.2149;1.21488;1.21489;139000000
15.12.20 05:35;1.21489;1.2149;1.21486;1.21487;132000000
15.12.20 05:35;1.21487;1.21487;1.21481;1.21483;162000000
15.12.20 05:35;1.21483;1.21484;1.21481;1.21482;158000000
15.12.20 05:36;1.21481;1.21483;1.21479;1.21479;166000000
15.12.20 05:36;1.21478;1.21479;1.21478;1.21479;141000000
15.12.20 05:36;1.21479;1.21481;1.21478;1.21479;148000000
15.12.20 05:36;1.21477;1.21478;1.21476;1.21477;131000000
15.12.20 05:36;1.21476;1.21477;1.21476;1.21477;137000000
15.12.20 05:36;1.21477;1.21479;1.21475;1.21477;132000000
15.12.20 05:37;1.21477;1.21478;1.21473;1.21475;145000000
15.12.20 05:37;1.21473;1.21477;1.21473;1.21475;125000000
15.12.20 05:37;1.21474;1.21477;1.21474;1.21475;126000000
15.12.20 05:37;1.21474;1.21477;1.21473;1.21474;151000000
15.12.20 05:37;1.21475;1.21477;1.21474;1.21475;143000000
15.12.20 05:37;1.21474;1.21477;1.21474;1.21477;166049999
15.12.20 05:38;1.21477;1.21482;1.21475;1.21482;128000000
15.12.20 05:38;1.2148;1.21483;1.2148;1.21482;144049999
15.12.20 05:38;1.21482;1.21482;1.2148;1.21481;141000000
15.12.20 05:38;1.21481;1.21482;1.21478;1.21479;163000000
15.12.20 05:38;1.21479;1.21481;1.21479;1.2148;124000000
15.12.20 05:38;1.2148;1.21481;1.21479;1.21481;150000000
15.12.20 05:39;1.21481;1.21482;1.2148;1.21481;143000000
15.12.20 05:39;1.2148;1.21482;1.21479;1.2148;136000000
15.12.20 05:39;1.2148;1.2148;1.21479;1.2148;123000000
15.12.20 05:39;1.21481;1.21481;1.21478;1.2148;146000000
15.12.20 05:39;1.21479;1.21483;1.21479;1.21482;124000000
15.12.20 05:39;1.21482;1.21484;1.21481;1.21483;162000000
15.12.20 05:40;1.21483;1.21485;1.21482;1.21483;159000000
15.12.20 05:40;1.21484;1.21485;1.21483;1.21485;126000000
15.12.20 05:40;1.21485;1.21486;1.21484;1.21484;150000000
15.12.20 05:40;1.21484;1.21486;1.21484;1.21484;174000000
15.12.20 05:40;1.21486;1.21486;1.21483;1.21484;159000000
15.12.20 05:40;1.21484;1.21487;1.21484;1.21487;151000000
15.12.20 05:41;1.21486;1.21488;1.21486;1.21487;136000000
15.12.20 05:41;1.21487;1.21489;1.21486;1.21489;134000000
15.12.20 05:41;1.21488;1.2149;1.21486;1.21488;139000000
15.12.20 05:41;1.21488;1.2149;1.21488;1.21489;138000000
15.12.20 05:41;1.21489;1.2149;1.21486;1.21487;131000000
15.12.20 05:41;1.21487;1.21489;1.21486;1.21488;137000000
15.12.20 05:42;1.21487;1.21489;1.21487;1.21487;163000000
15.12.20 05:42;1.21487;1.2149;1.21486;1.2149;130000000
15.12.20 05:42;1.2149;1.21491;1.21487;1.21488;154000000
15.12.20 05:42;1.21487;1.21491;1.21487;1.21491;143000000
15.12.20 05:42;1.21491;1.21493;1.21489;1.21492;141000000
15.12.20 05:42;1.21492;1.21493;1.2149;1.2149;143000000
15.12.20 05:43;1.21491;1.21493;1.2149;1.21491;127000000
15.12.20 05:43;1.21491;1.21493;1.2149;1.2149;103000000
15.12.20 05:43;1.21491;1.21492;1.21489;1.21489;167000000
15.12.20 05:43;1.21489;1.21489;1.21487;1.21488;164000000
15.12.20 05:43;1.21488;1.21491;1.21486;1.21487;155000000
15.12.20 05:43;1.21487;1.21489;1.21484;1.21485;144000000
15.12.20 05:44;1.21483;1.21486;1.21483;1.21485;146000000
15.12.20 05:44;1.21484;1.21486;1.21483;1.21484;86000000
15.12.20 05:44;1.21485;1.21487;1.21482;1.21485;144000000
15.12.20 05:44;1.21484;1.21486;1.21483;1.21483;136000000
15.12.20 05:44;1.21482;1.21485;1.21482;1.21482;153049999
15.12.20 05:44;1.21483;1.21484;1.21482;1.21482;126000000
15.12.20 05:45;1.21483;1.21483;1.2148;1.21482;119000000
15.12.20 05:45;1.21482;1.21483;1.2148;1.21481;125000000
15.12.20 05:45;1.21481;1.21482;1.2148;1.2148;117049999
15.12.20 05:45;1.21482;1.21484;1.2148;1.21482;144000000
15.12.20 05:45;1.21482;1.21483;1.21481;1.21482;122049999
15.12.20 05:45;1.2148;1.21483;1.2148;1.21483;127049999
15.12.20 05:46;1.21483;1.21486;1.21483;1.21484;162000000
15.12.20 05:46;1.21484;1.21485;1.21483;1.21483;146000000
15.12.20 05:46;1.21483;1.21485;1.21483;1.21485;118000000
15.12.20 05:46;1.21485;1.21485;1.21483;1.21484;139000000
15.12.20 05:46;1.21484;1.21485;1.21483;1.21485;113000000
15.12.20 05:46;1.21485;1.21485;1.21481;1.21483;148000000
15.12.20 05:47;1.21483;1.21488;1.21482;1.21486;138000000
15.12.20 05:47;1.21483;1.21485;1.21483;1.21485;142049999
15.12.20 05:47;1.21485;1.21485;1.21482;1.21484;118000000
15.12.20 05:47;1.21484;1.21485;1.21483;1.21484;144000000
15.12.20 05:47;1.21484;1.21485;1.21481;1.21483;152000000
15.12.20 05:47;1.21483;1.21483;1.21481;1.21481;152000000
15.12.20 05:48;1.21481;1.21484;1.21481;1.21483;132049999
15.12.20 05:48;1.21483;1.21484;1.21481;1.21482;131049999
15.12.20 05:48;1.21482;1.21484;1.21481;1.21481;134000000
15.12.20 05:48;1.21482;1.21483;1.21481;1.21483;129000000
15.12.20 05:48;1.21482;1.21483;1.21481;1.21482;111000000
15.12.20 05:48;1.21481;1.21483;1.21481;1.21482;126000000
15.12.20 05:49;1.2148;1.21483;1.2148;1.21483;127000000
15.12.20 05:49;1.21483;1.21483;1.21477;1.21477;144000000
15.12.20 05:49;1.21478;1.21479;1.21477;1.21478;118000000
15.12.20 05:49;1.21479;1.21481;1.21477;1.2148;99000000
15.12.20 05:49;1.2148;1.2148;1.21477;1.21479;130000000
15.12.20 05:49;1.21479;1.21479;1.21474;1.21474;131000000
15.12.20 05:50;1.21474;1.21474;1.21472;1.21473;140000000
15.12.20 05:50;1.21473;1.21474;1.21472;1.21474;101000000
15.12.20 05:50;1.21474;1.21474;1.21471;1.21472;131000000
15.12.20 05:50;1.21472;1.21474;1.21472;1.21473;129000000
15.12.20 05:50;1.21473;1.21473;1.21471;1.21472;131000000
15.12.20 05:50;1.21472;1.21473;1.21471;1.21472;124000000
15.12.20 05:51;1.21472;1.21473;1.21466;1.21468;157000000
15.12.20 05:51;1.21468;1.21468;1.21463;1.21467;164000000
15.12.20 05:51;1.21468;1.21468;1.21465;1.21468;132000000
15.12.20 05:51;1.21466;1.21468;1.21466;1.21468;131000000
15.12.20 05:51;1.21467;1.2147;1.21467;1.21467;142000000
15.12.20 05:51;1.21468;1.21469;1.21465;1.21468;140000000
15.12.20 05:52;1.21467;1.21468;1.21466;1.21467;172000000
15.12.20 05:52;1.21467;1.21472;1.21466;1.21472;165000000
15.12.20 05:52;1.21471;1.21472;1.2147;1.21471;162000000
15.12.20 05:52;1.21472;1.21473;1.21472;1.21472;145000000
15.12.20 05:52;1.21472;1.21473;1.21471;1.21473;141000000
15.12.20 05:52;1.21472;1.21473;1.21471;1.21472;139000000
15.12.20 05:53;1.21472;1.21472;1.21471;1.21471;152000000
15.12.20 05:53;1.21471;1.21473;1.21471;1.21473;145000000
15.12.20 05:53;1.21473;1.21473;1.21472;1.21472;153000000
15.12.20 05:53;1.21472;1.21473;1.21471;1.21471;146000000
15.12.20 05:53;1.21471;1.21473;1.21466;1.21466;160000000
15.12.20 05:53;1.21468;1.2147;1.21467;1.21469;156000000
15.12.20 05:54;1.21469;1.21471;1.21469;1.21469;138000000
15.12.20 05:54;1.21469;1.21473;1.21468;1.21471;134000000
15.12.20 05:54;1.21471;1.21473;1.21469;1.2147;139000000
15.12.20 05:54;1.2147;1.21472;1.21469;1.21472;133000000
15.12.20 05:54;1.21471;1.21472;1.21469;1.21472;164000000
15.12.20 05:54;1.21472;1.21474;1.21471;1.21472;155000000
15.12.20 05:55;1.21473;1.21476;1.21472;1.21475;165000000
15.12.20 05:55;1.21475;1.21476;1.21473;1.21475;149000000
15.12.20 05:55;1.21474;1.21477;1.21474;1.21476;176000000
15.12.20 05:55;1.21475;1.21477;1.21472;1.21475;160000000
15.12.20 05:55;1.21474;1.21476;1.21473;1.21474;145000000
15.12.20 05:55;1.21474;1.21475;1.21473;1.21475;137000000
15.12.20 05:56;1.21475;1.21477;1.21473;1.21477;123000000
